time,temperature_forecast,forecast_method,confidence,forecast_time
2026-02-21 05:00:00,4.0,NWP,high,2026-02-16 17:46:30.875101
2026-02-21 06:00:00,4.2,NWP,high,2026-02-16 17:46:30.875101
2026-02-21 07:00:00,5.9,NWP,high,2026-02-16 17:46:30.875101
2026-02-21 08:00:00,8.4,NWP,high,2026-02-16 17:46:30.875101
2026-02-21 09:00:00,10.5,NWP,high,2026-02-16 17:46:30.875101
2026-02-21 10:00:00,12.1,NWP,high,2026-02-16 17:46:30.875101
2026-02-21 11:00:00,12.9,NWP,high,2026-02-16 17:46:30.875101
2026-02-21 12:00:00,13.5,NWP,high,2026-02-16 17:46:30.875101
2026-02-21 13:00:00,13.8,NWP,high,2026-02-16 17:46:30.875101
2026-02-21 14:00:00,14.0,NWP,high,2026-02-16 17:46:30.875101
2026-02-21 15:00:00,14.1,NWP,high,2026-02-16 17:46:30.875101
2026-02-21 16:00:00,14.0,NWP,high,2026-02-16 17:46:30.875101
2026-02-21 17:00:00,13.7,NWP,high,2026-02-16 17:46:30.875101
2026-02-21 18:00:00,13.5,NWP,high,2026-02-16 17:46:30.875101
2026-02-21 19:00:00,13.5,NWP,high,2026-02-16 17:46:30.875101
2026-02-21 20:00:00,13.4,NWP,high,2026-02-16 17:46:30.875101
2026-02-21 21:00:00,13.4,NWP,high,2026-02-16 17:46:30.875101
2026-02-21 22:00:00,13.4,NWP,high,2026-02-16 17:46:30.875101
2026-02-21 23:00:00,13.4,NWP,high,2026-02-16 17:46:30.875101
2026-02-22 00:00:00,13.3,NWP,high,2026-02-16 17:46:30.875101
2026-02-22 01:00:00,13.3,NWP,high,2026-02-16 17:46:30.875101
2026-02-22 02:00:00,13.2,NWP,high,2026-02-16 17:46:30.875101
2026-02-22 03:00:00,13.2,NWP,high,2026-02-16 17:46:30.875101
2026-02-22 04:00:00,13.3,NWP,high,2026-02-16 17:46:30.875101
2026-02-22 05:00:00,13.5,NWP,high,2026-02-16 17:46:30.875101
2026-02-22 06:00:00,13.7,NWP,high,2026-02-16 17:46:30.875101
2026-02-22 07:00:00,13.9,NWP,high,2026-02-16 17:46:30.875101
2026-02-22 08:00:00,14.1,NWP,high,2026-02-16 17:46:30.875101
2026-02-22 09:00:00,14.3,NWP,high,2026-02-16 17:46:30.875101
2026-02-22 10:00:00,14.5,NWP,high,2026-02-16 17:46:30.875101
2026-02-22 11:00:00,14.7,NWP,high,2026-02-16 17:46:30.875101
2026-02-22 12:00:00,14.9,NWP,high,2026-02-16 17:46:30.875101
2026-02-22 13:00:00,14.9,NWP,high,2026-02-16 17:46:30.875101
2026-02-22 14:00:00,14.9,NWP,high,2026-02-16 17:46:30.875101
2026-02-22 15:00:00,14.9,NWP,high,2026-02-16 17:46:30.875101
2026-02-22 16:00:00,14.8,NWP,high,2026-02-16 17:46:30.875101
2026-02-22 17:00:00,14.8,NWP,high,2026-02-16 17:46:30.875101
2026-02-22 18:00:00,14.7,NWP,high,2026-02-16 17:46:30.875101
2026-02-22 19:00:00,14.7,NWP,high,2026-02-16 17:46:30.875101
2026-02-22 20:00:00,14.6,NWP,high,2026-02-16 17:46:30.875101
2026-02-22 21:00:00,14.5,NWP,high,2026-02-16 17:46:30.875101
2026-02-22 22:00:00,14.4,NWP,high,2026-02-16 17:46:30.875101
2026-02-22 23:00:00,14.2,NWP,high,2026-02-16 17:46:30.875101
